keyword,title,summary,url
Taylor Swift,Taylor Swift - Wikipedia,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. An influential figure in popular culture, she is known for her autobiographical songwriting and artistic reinventions. Swift is the highest-grossing live music artist, the wealthiest female musician, and one of the best-selling music artists of all time.",https://en.wikipedia.org/wiki/Taylor_Swift
David Tao,David Tao - Wikipedia,"David Tao (Chinese: 陶喆; pinyin: Táo Zhé; Pe̍h-ōe-jī: Tô Tiat,  born 11 July 1969) is a Taiwanese singer-songwriter. He is well known for creating a crossover genre of R&B and hard rock tunes which has now become his signature style and for having popularized R&B in the Mandopop industry. Tao's accolades include six Golden Melody Awards in Taiwan.",https://en.wikipedia.org/wiki/David_Tao
artificial intelligence,Artificial intelligence - Wikipedia,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. It is a field of research in engineering, mathematics and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.[1]",https://en.wikipedia.org/wiki/Artificial_intelligence
Taylor Swift,Taylor Swift - Wikipedia,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. An influential figure in popular culture, she is known for her autobiographical songwriting and artistic reinventions. Swift is the highest-grossing live music artist, the wealthiest female musician, and one of the best-selling music artists of all time.",https://en.wikipedia.org/wiki/Taylor_Swift
Elon Musk,Elon Musk - Wikipedia,"Elon Reeve Musk (/ˈiːlɒn/ EE-lon; born June 28, 1971) is a businessman and entrepreneur known for his leadership of Tesla, SpaceX, X, and xAI. Musk has been the wealthiest person in the world since 2025; as of April 2026,[update] Forbes estimates his net worth to be US$809 billion.",https://en.wikipedia.org/wiki/Elon_Musk
Andrew Ng,Andrew Ng - Wikipedia,"Andrew Yan-Tak Ng (Chinese: 吳恩達; born April 18, 1976[2]) is a British-American computer scientist and technology entrepreneur focusing on machine learning and artificial intelligence (AI).[3] Ng was a cofounder and head of Google Brain and was the former Chief Scientist at Baidu.[4]",https://en.wikipedia.org/wiki/Andrew_Ng
Lionel Messi,Lionel Messi - Wikipedia,"Lionel Andrés ""Leo"" Messi[note 1] (born 24 June 1987) is an Argentine professional footballer who plays as a forward for and captains both the Major League Soccer club Inter Miami and the Argentina national team. Widely regarded as one of the greatest players in history, Messi has set numerous records for individual accolades won throughout his professional footballing career, including eight Ballon d'Ors, six European Golden Shoes, and eight times being named the world's best player by FIFA.[note 2] In 2025, he was named the All Time Men's World Best Player by the IFFHS.",https://en.wikipedia.org/wiki/Lionel_Messi
Nvidia,Nvidia - Wikipedia,"Nvidia Corporation[a] (/ɛnˈvɪdiə/ en-VID-ee-ə) is an American technology company headquartered in Santa Clara, California. The company develops graphics processing units (GPUs), systems on chips (SoCs), and application programming interfaces (APIs) for data science, high-performance computing, video games, and mobile and automotive applications.[5][6] Founded in 1993 by Jensen Huang, Chris Malachowsky, and Curtis Priem, Nvidia has been widely described as a Big Tech company.",https://en.wikipedia.org/wiki/Nvidia
Taylor Swift,Taylor Swift - Wikipedia,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. An influential figure in popular culture, she is known for her autobiographical songwriting and artistic reinventions. Swift is the highest-grossing live music artist, the wealthiest female musician, and one of the best-selling music artists of all time.",https://en.wikipedia.org/wiki/Taylor_Swift
Elon Musk,Elon Musk - Wikipedia,"Elon Reeve Musk (/ˈiːlɒn/ EE-lon; born June 28, 1971) is a businessman and entrepreneur known for his leadership of Tesla, SpaceX, X, and xAI. Musk has been the wealthiest person in the world since 2025; as of April 2026,[update] Forbes estimates his net worth to be US$809 billion.",https://en.wikipedia.org/wiki/Elon_Musk
Andrew Ng,Andrew Ng - Wikipedia,"Andrew Yan-Tak Ng (Chinese: 吳恩達; born April 18, 1976[2]) is a British-American computer scientist and technology entrepreneur focusing on machine learning and artificial intelligence (AI).[3] Ng was a cofounder and head of Google Brain and was the former Chief Scientist at Baidu.[4]",https://en.wikipedia.org/wiki/Andrew_Ng
Lionel Messi,Lionel Messi - Wikipedia,"Lionel Andrés ""Leo"" Messi[note 1] (born 24 June 1987) is an Argentine professional footballer who plays as a forward for and captains both the Major League Soccer club Inter Miami and the Argentina national team. Widely regarded as one of the greatest players in history, Messi has set numerous records for individual accolades won throughout his professional footballing career, including eight Ballon d'Ors, six European Golden Shoes, and eight times being named the world's best player by FIFA.[note 2] In 2025, he was named the All Time Men's World Best Player by the IFFHS.",https://en.wikipedia.org/wiki/Lionel_Messi
Nvidia,Nvidia - Wikipedia,"Nvidia Corporation[a] (/ɛnˈvɪdiə/ en-VID-ee-ə) is an American technology company headquartered in Santa Clara, California. The company develops graphics processing units (GPUs), systems on chips (SoCs), and application programming interfaces (APIs) for data science, high-performance computing, video games, and mobile and automotive applications.[5][6] Founded in 1993 by Jensen Huang, Chris Malachowsky, and Curtis Priem, Nvidia has been widely described as a Big Tech company.",https://en.wikipedia.org/wiki/Nvidia
Jay Chou,Jay Chou - Wikipedia,"Jay Chou Chieh-lun (traditional Chinese: 周杰倫; simplified Chinese: 周杰伦; pinyin: Zhōu Jiélún; born 18 January 1979) is a Taiwanese singer-songwriter, actor, director, and businessman. Widely regarded as one of the most influential figures in the Chinese-speaking world, he is referred to as the ""King of Mandopop"".",https://en.wikipedia.org/wiki/Jay_Chou
